Number,First,Second,Third
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,0,0
8,8,0,0
9,9,0,0
10,9,1,0
11,11,0,0
12,11,1,0
13,11,2,0
14,11,3,0
15,11,4,0
16,11,5,0
17,11,6,0
18,11,7,0
19,11,8,0
20,11,9,0
21,11,9,1
22,22,0,0
23,22,1,0
24,22,2,0
25,22,3,0
26,22,4,0
27,22,5,0
28,22,6,0
29,22,7,0
30,22,8,0
31,22,9,0
32,22,9,1
33,33,0,0
34,33,1,0
35,33,2,0
36,33,3,0
37,33,4,0
38,33,5,0
39,33,6,0
40,33,7,0
41,33,8,0
42,33,9,0
43,33,9,1
44,44,0,0
45,44,1,0
46,44,2,0
47,44,3,0
48,44,4,0
49,44,5,0
50,44,6,0
51,44,7,0
52,44,8,0
53,44,9,0
54,44,9,1
55,55,0,0
56,55,1,0
57,55,2,0
58,55,3,0
59,55,4,0
60,55,5,0
61,55,6,0
62,55,7,0
63,55,8,0
64,55,9,0
65,55,9,1
66,66,0,0
67,66,1,0
68,66,2,0
69,66,3,0
70,66,4,0
71,66,5,0
72,66,6,0
73,66,7,0
74,66,8,0
75,66,9,0
76,66,9,1
77,77,0,0
78,77,1,0
79,77,2,0
80,77,3,0
81,77,4,0
82,77,5,0
83,77,6,0
84,77,7,0
85,77,8,0
86,77,9,0
87,77,9,1
88,88,0,0
89,88,1,0
90,88,2,0
91,88,3,0
92,88,4,0
93,88,5,0
94,88,6,0
95,88,7,0
96,88,8,0
97,88,9,0
98,88,9,1
99,99,0,0
100,99,1,0
101,101,0,0
102,101,1,0
103,101,2,0
104,101,3,0
105,101,4,0
106,101,5,0
107,101,6,0
108,101,7,0
109,101,8,0
110,101,9,0
111,111,0,0
112,111,1,0
113,111,2,0
114,111,3,0
115,111,4,0
116,111,5,0
117,111,6,0
118,111,7,0
119,111,8,0
120,111,9,0
121,121,0,0
122,121,1,0
123,121,2,0
124,121,3,0
125,121,4,0
126,121,5,0
127,121,6,0
128,121,7,0
129,121,8,0
130,121,9,0
131,131,0,0
132,131,1,0
133,131,2,0
134,131,3,0
135,131,4,0
136,131,5,0
137,131,6,0
138,131,7,0
139,131,8,0
140,131,9,0
141,141,0,0
142,141,1,0
143,141,2,0
144,141,3,0
145,141,4,0
146,141,5,0
147,141,6,0
148,141,7,0
149,141,8,0
150,141,9,0
151,151,0,0
152,151,1,0
153,151,2,0
154,151,3,0
155,151,4,0
156,151,5,0
157,151,6,0
158,151,7,0
159,151,8,0
160,151,9,0
161,161,0,0
162,161,1,0
163,161,2,0
164,161,3,0
165,161,4,0
166,161,5,0
167,161,6,0
168,161,7,0
169,161,8,0
170,161,9,0
171,171,0,0
172,171,1,0
173,171,2,0
174,171,3,0
175,171,4,0
176,171,5,0
177,171,6,0
178,171,7,0
179,171,8,0
180,171,9,0
181,181,0,0
182,181,1,0
183,181,2,0
184,181,3,0
185,181,4,0
186,181,5,0
187,181,6,0
188,181,7,0
189,181,8,0
190,181,9,0
191,191,0,0
192,191,1,0
193,191,2,0
194,191,3,0
195,191,4,0
196,191,5,0
197,191,6,0
198,191,7,0
199,191,8,0
200,191,9,0
201,101,99,1
202,202,0,0
203,202,1,0
204,202,2,0
205,202,3,0
206,202,4,0
207,202,5,0
208,202,6,0
209,202,7,0
210,202,8,0
211,202,9,0
212,212,0,0
213,212,1,0
214,212,2,0
215,212,3,0
216,212,4,0
217,212,5,0
218,212,6,0
219,212,7,0
220,212,8,0
221,212,9,0
222,222,0,0
223,222,1,0
224,222,2,0
225,222,3,0
226,222,4,0
227,222,5,0
228,222,6,0
229,222,7,0
230,222,8,0
231,222,9,0
232,232,0,0
233,232,1,0
234,232,2,0
235,232,3,0
236,232,4,0
237,232,5,0
238,232,6,0
239,232,7,0
240,232,8,0
241,232,9,0
242,242,0,0
243,242,1,0
244,242,2,0
245,242,3,0
246,242,4,0
247,242,5,0
248,242,6,0
249,242,7,0
250,242,8,0
251,242,9,0
252,252,0,0
253,252,1,0
254,252,2,0
255,252,3,0
256,252,4,0
257,252,5,0
258,252,6,0
259,252,7,0
260,252,8,0
261,252,9,0
262,262,0,0
263,262,1,0
264,262,2,0
265,262,3,0
266,262,4,0
267,262,5,0
268,262,6,0
269,262,7,0
270,262,8,0
271,262,9,0
272,272,0,0
273,272,1,0
274,272,2,0
275,272,3,0
276,272,4,0
277,272,5,0
278,272,6,0
279,272,7,0
280,272,8,0
281,272,9,0
282,282,0,0
283,282,1,0
284,282,2,0
285,282,3,0
286,282,4,0
287,282,5,0
288,282,6,0
289,282,7,0
290,282,8,0
291,282,9,0
292,292,0,0
293,292,1,0
294,292,2,0
295,292,3,0
296,292,4,0
297,292,5,0
298,292,6,0
299,292,7,0
300,292,8,0
301,292,9,0
302,191,111,0
303,303,0,0
304,303,1,0
305,303,2,0
306,303,3,0
307,303,4,0
308,303,5,0
309,303,6,0
310,303,7,0
311,303,8,0
312,303,9,0
313,313,0,0
314,313,1,0
315,313,2,0
316,313,3,0
317,313,4,0
318,313,5,0
319,313,6,0
320,313,7,0
321,313,8,0
322,313,9,0
323,323,0,0
324,323,1,0
325,323,2,0
326,323,3,0
327,323,4,0
328,323,5,0
329,323,6,0
330,323,7,0
331,323,8,0
332,323,9,0
333,333,0,0
334,333,1,0
335,333,2,0
336,333,3,0
337,333,4,0
338,333,5,0
339,333,6,0
340,333,7,0
341,333,8,0
342,333,9,0
343,343,0,0
344,343,1,0
345,343,2,0
346,343,3,0
347,343,4,0
348,343,5,0
349,343,6,0
350,343,7,0
351,343,8,0
352,343,9,0
353,353,0,0
354,353,1,0
355,353,2,0
356,353,3,0
357,353,4,0
358,353,5,0
359,353,6,0
360,353,7,0
361,353,8,0
362,353,9,0
363,363,0,0
364,363,1,0
365,363,2,0
366,363,3,0
367,363,4,0
368,363,5,0
369,363,6,0
370,363,7,0
371,363,8,0
372,363,9,0
373,373,0,0
374,373,1,0
375,373,2,0
376,373,3,0
377,373,4,0
378,373,5,0
379,373,6,0
380,373,7,0
381,373,8,0
382,373,9,0
383,383,0,0
384,383,1,0
385,383,2,0
386,383,3,0
387,383,4,0
388,383,5,0
389,383,6,0
390,383,7,0
391,383,8,0
392,383,9,0
393,393,0,0
394,393,1,0
395,393,2,0
396,393,3,0
397,393,4,0
398,393,5,0
399,393,6,0
400,393,7,0
401,393,8,0
402,393,9,0
403,292,111,0
404,404,0,0
405,404,1,0
406,404,2,0
407,404,3,0
408,404,4,0
409,404,5,0
410,404,6,0
411,404,7,0
412,404,8,0
413,404,9,0
414,414,0,0
415,414,1,0
416,414,2,0
417,414,3,0
418,414,4,0
419,414,5,0
420,414,6,0
421,414,7,0
422,414,8,0
423,414,9,0
424,424,0,0
425,424,1,0
426,424,2,0
427,424,3,0
428,424,4,0
429,424,5,0
430,424,6,0
431,424,7,0
432,424,8,0
433,424,9,0
434,434,0,0
435,434,1,0
436,434,2,0
437,434,3,0
438,434,4,0
439,434,5,0
440,434,6,0
441,434,7,0
442,434,8,0
443,434,9,0
444,444,0,0
